patent_name,patent_id_str,uspto_link,patent_id,google_url
Toucan Can Opener,"D560,454",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=61&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D560454,https://patents.google.com/patent/USD560454
Power Can Opener,"D561,547",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=60&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D561547,https://patents.google.com/patent/USD561547
Battery Can Opener,"7,213,340",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=66&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,7213340,https://patents.google.com/patent/US7213340
Direct Drive Can Opener,"D538,118",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=68&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D538118,https://patents.google.com/patent/USD538118
Beverage Bottle And Can Opener,"6,957,599",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=80&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6957599,https://patents.google.com/patent/US6957599
Electromotive Can Opener,"6,886,260",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=82&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6886260,https://patents.google.com/patent/US6886260
Safety Can Opener,"D501,772",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=83&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D501772,https://patents.google.com/patent/USD501772
Single Handle Can Opener,"6,829,832",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=87&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6829832,https://patents.google.com/patent/US6829832
Beverage Bottle And Can Opener,"D498,997",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=88&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D498997,https://patents.google.com/patent/USD498997
PaintBrush and Can Opener,"6,823,553",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=89&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6823553,https://patents.google.com/patent/US6823553
Automatic Can Opener,"6,739,061",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=93&f=G&l=50&d=PTXT&s1=%22Can+Opener%22.TI.&p=2&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,6739061,https://patents.google.com/patent/US6739061
Bottle and Can Opener Arrangement,"7,614,321",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=44&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,7614321,https://patents.google.com/patent/US7614321
